"STATION,""NAME"",""LATITUDE"",""LONGITUDE"",""ELEVATION"",""DATE"",""PRCP"",""SNOW"",""SNWD"",""TAVG"",""TMAX"",""TMIN"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-04"",""0.00"",""0.0"",""0.0"",""56"",""64"",""50"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-05"",""0.01"",""0.0"",""0.0"",""57"",""68"",""48"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-06"",""0.00"",""0.0"",""0.0"",""62"",""77"",""52"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-07"",""0.00"",""0.0"",""0.0"",""58"",""69"",""53"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-08"",""0.03"",""0.0"",""0.0"",""62"",""75"",""50"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-09"",""0.00"",""0.0"",""0.0"",""60"",""67"",""52"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-10"",""0.04"",""0.0"",""0.0"",""55"",""62"",""50"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-11"",""0.00"",""0.0"",""0.0"",""54"",""67"",""50"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-12"",""0.00"",""0.0"",""0.0"",""60"",""77"",""49"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-13"",""0.00"",""0.0"",""0.0"",""67"",""85"",""52"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-14"",""0.00"",""0.0"",""0.0"",""71"",""88"",""58"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-15"",""0.00"",""0.0"",""0.0"",""65"",""69"",""54"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-16"",""0.00"",""0.0"",""0.0"",""59"",""68"",""53"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-17"",""0.00"",""0.0"",""0.0"",""58"",""67"",""53"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-18"",""0.00"",""0.0"",""0.0"",""58"",""66"",""53"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-19"",""0.04"",""0.0"",""0.0"",""60"",""72"",""45"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-20"",""0.00"",""0.0"",""0.0"",""60"",""68"",""55"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-21"",""0.00"",""0.0"",""0.0"",""60"",""72"",""54"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-22"",""0.00"",""0.0"",""0.0"",""63"",""79"",""51"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-23"",""0.00"",""0.0"",""0.0"",""68"",""80"",""55"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-24"",""0.00"",""0.0"",""0.0"",""62"",""70"",""54"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-25"",""0.00"",""0.0"",""0.0"",""60"",""68"",""52"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-26"",""0.00"",""0.0"",""0.0"",""59"",""68"",""52"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-27"",""0.00"",""0.0"",""0.0"",""60"",""75"",""51"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-28"",""0.00"",""0.0"",""0.0"",""61"",""70"",""52"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-29"",""0.00"",""0.0"",""0.0"",""58"",""65"",""50"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-30"",""0.00"",""0.0"",""0.0"",""56"",""67"",""48"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-31"",""0.00"",""0.0"",""0.0"",""56"",""67"",""49"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-06-01"",""0.00"",""0.0"",""0.0"",""56"",""68"",""48"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-06-02"",""0.00"",""0.0"",""0.0"",""62"",""77"",""54"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-06-03"",""0.01"",""0.0"",""0.0"",""61"",""63"",""53"""
